GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
common-adapter-file-storage,cm.xenonbyte.farmbyte.common.adapter.file.storage,FileSystemStorageManager,19,36,1,1,3,6,1,2,0,2
common-adapter-file-storage,cm.xenonbyte.farmbyte.common.adapter.file.storage,StorageBadException,9,0,0,0,4,0,2,0,2,0
